,competition,game,team,role,player,rater,is_human,rate,goals,assists,shots_ontarget,shots_offtarget,shots_blocked,chances_to_score,drib_success,drib_unsuccess,key_passes,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,was_fouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,yellow_cards,red_cards,dang_mistakes,countattack,offsides,missed_penalties,own_goals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness_to_goals,win,lost,is_home_team,mins,game_duration
0,euro_2016,"France - Romania, 2 - 1",Romania,DC,Dragos Grigore,Kicker,1,3.5,0,0,0,0,0,0,0,0,0,34,20,5,0,0,5,1,0,2,0,3,11,0,0,8,0,3,0,0,0,0,0,0,0,2,1,0,0,1.071428571,0.143055419,0.603571429,0.304347826,0.0,0.0,0,1,0,90,90
1,euro_2016,"France - Romania, 2 - 1",Romania,DC,Dragos Grigore,WhoScored,0,6.56,0,0,0,0,0,0,0,0,0,34,20,5,0,0,5,1,0,2,0,3,11,0,0,8,0,3,0,0,0,0,0,0,0,2,1,0,0,1.071428571,0.143055419,0.603571429,0.304347826,0.0,0.0,0,1,0,90,90
2,euro_2016,"France - Romania, 2 - 1",Romania,DC,Dragos Grigore,SofaScore,0,6.7,0,0,0,0,0,0,0,0,0,34,20,5,0,0,5,1,0,2,0,3,11,0,0,8,0,3,0,0,0,0,0,0,0,2,1,0,0,1.071428571,0.143055419,0.603571429,0.304347826,0.0,0.0,0,1,0,90,90
3,euro_2016,"France - Romania, 2 - 1",France,Sub,Anthony Martial,WhoScored,0,6.19,0,0,1,0,0,1,1,0,0,10,3,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.051556338,0.52484472,0.04109589,0.166666667,0.0,1,0,1,13,90
4,euro_2016,"France - Romania, 2 - 1",Romania,DMC,Mihai Pintilii,Kicker,1,3.5,0,0,0,1,0,1,2,0,0,60,31,9,0,0,4,5,5,6,1,1,14,4,1,4,0,7,3,4,0,0,0,0,0,2,0,0,0,1.571428571,0.333284272,0.710084034,0.347826087,0.675074789,0.0,0,1,0,90,90
5,euro_2016,"France - Romania, 2 - 1",Romania,DMC,Mihai Pintilii,WhoScored,0,6.58,0,0,0,1,0,1,2,0,0,60,31,9,0,0,4,5,5,6,1,1,14,4,1,4,0,7,3,4,0,0,0,0,0,2,0,0,0,1.571428571,0.333284272,0.710084034,0.347826087,0.675074789,0.0,0,1,0,90,90
6,euro_2016,"France - Romania, 2 - 1",Romania,DMC,Mihai Pintilii,SofaScore,0,6.8,0,0,0,1,0,1,2,0,0,60,31,9,0,0,4,5,5,6,1,1,14,4,1,4,0,7,3,4,0,0,0,0,0,2,0,0,0,1.571428571,0.333284272,0.710084034,0.347826087,0.675074789,0.0,0,1,0,90,90
7,euro_2016,"France - Romania, 2 - 1",France,FW,Olivier Giroud,SofaScore,0,7.1,1,0,2,2,0,3,0,0,0,47,11,10,1,1,0,0,1,5,11,3,18,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1.428571429,0.316015207,0.754464286,0.315068493,1.090212669,0.05,1,0,1,90,90
8,euro_2016,"France - Romania, 2 - 1",France,FW,Olivier Giroud,WhoScored,0,7.34,1,0,2,2,0,3,0,0,0,47,11,10,1,1,0,0,1,5,11,3,18,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1.428571429,0.316015207,0.754464286,0.315068493,1.090212669,0.05,1,0,1,90,90
9,euro_2016,"France - Romania, 2 - 1",France,FW,Olivier Giroud,Kicker,1,3.0,1,0,2,2,0,3,0,0,0,47,11,10,1,1,0,0,1,5,11,3,18,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1.428571429,0.316015207,0.754464286,0.315068493,1.090212669,0.05,1,0,1,90,90
