,competition,game,team,role,player,rater,is_human,rate,goals,assists,shots_ontarget,shots_offtarget,shots_blocked,chances_to_score,drib_success,drib_unsuccess,key_passes,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,was_fouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,yellow_cards,red_cards,dang_mistakes,countattack,offsides,missed_penalties,own_goals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness_to_goals,win,lost,is_home_team,mins,game_duration
44533,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,AMR,Aleksandr Samedov,WhoScored,0,7.09,0,0,0,2,1,1,1,0,0,30,15,1,0,1,1,0,1,4,2,3,7,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1.142857143,0.129638767,0.670634921,0.23943662,0.741988847,0.0,1,0,1,64,90
44534,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,AMR,Aleksandr Samedov,SkySports,1,7.0,0,0,0,2,1,1,1,0,0,30,15,1,0,1,1,0,1,4,2,3,7,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1.142857143,0.129638767,0.670634921,0.23943662,0.741988847,0.0,1,0,1,64,90
44535,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,AMR,Aleksandr Samedov,SofaScore,0,6.9,0,0,0,2,1,1,1,0,0,30,15,1,0,1,1,0,1,4,2,3,7,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1.142857143,0.129638767,0.670634921,0.23943662,0.741988847,0.0,1,0,1,64,90
44536,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,AMR,Aleksandr Samedov,Kicker,1,4.0,0,0,0,2,1,1,1,0,0,30,15,1,0,1,1,0,1,4,2,3,7,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1.142857143,0.129638767,0.670634921,0.23943662,0.741988847,0.0,1,0,1,64,90
44537,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,FW,Fedor Smolov,WhoScored,0,6.57,0,0,0,0,0,1,1,2,1,28,14,4,1,0,1,0,5,5,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.071428571,0.119463559,0.635338346,0.225352113,1.156960383,0.0,1,0,1,70,90
44538,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,FW,Fedor Smolov,SkySports,1,6.0,0,0,0,0,0,1,1,2,1,28,14,4,1,0,1,0,5,5,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.071428571,0.119463559,0.635338346,0.225352113,1.156960383,0.0,1,0,1,70,90
44539,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,FW,Fedor Smolov,SofaScore,0,6.2,0,0,0,0,0,1,1,2,1,28,14,4,1,0,1,0,5,5,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.071428571,0.119463559,0.635338346,0.225352113,1.156960383,0.0,1,0,1,70,90
44540,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Russia,FW,Fedor Smolov,Kicker,1,4.5,0,0,0,0,0,1,1,2,1,28,14,4,1,0,1,0,5,5,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.071428571,0.119463559,0.635338346,0.225352113,1.156960383,0.0,1,0,1,70,90
44541,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DL,Yaseer Al-Shahrani,Kicker,1,4.5,0,0,0,2,1,0,0,0,0,96,45,12,0,1,3,4,6,1,4,10,22,1,1,4,0,6,3,0,0,2,0,0,0,3,0,0,0,1.142857143,0.317260316,0.670634921,0.590361446,1.114195482,0.0,0,1,0,90,90
44542,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DL,Yaseer Al-Shahrani,WhoScored,0,6.49,0,0,0,2,1,0,0,0,0,96,45,12,0,1,3,4,6,1,4,10,22,1,1,4,0,6,3,0,0,2,0,0,0,3,0,0,0,1.142857143,0.317260316,0.670634921,0.590361446,1.114195482,0.0,0,1,0,90,90
44543,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DL,Yaseer Al-Shahrani,SofaScore,0,6.4,0,0,0,2,1,0,0,0,0,96,45,12,0,1,3,4,6,1,4,10,22,1,1,4,0,6,3,0,0,2,0,0,0,3,0,0,0,1.142857143,0.317260316,0.670634921,0.590361446,1.114195482,0.0,0,1,0,90,90
44544,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DL,Yaseer Al-Shahrani,SkySports,1,6.0,0,0,0,2,1,0,0,0,0,96,45,12,0,1,3,4,6,1,4,10,22,1,1,4,0,6,3,0,0,2,0,0,0,3,0,0,0,1.142857143,0.317260316,0.670634921,0.590361446,1.114195482,0.0,0,1,0,90,90
44545,world_cup_2018,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,MC,Salman Al-Faraj,Kicker,1,5.0,0,0,0,0,0,0,0,0,1,98,74,7,1,0,5,1,5,2,1,1,12,0,2,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1.357142857,0.210031022,0.710084034,0.626506024,0.865441343,0.0,0,1,0,90,90
